Sentence,Source,label
استخدمته سابقا ولآن لايفتح التطبيق ويقول انه لايتوافق مع جهازك مع أنه كان شغال قبل اسبوع افيدونا مالمشكلة بالضبط,Companies,Neutral
استقرار نادينا العظيم خط احمر #كلنا_مرتضي_منصور,Tweet,Neutral
رسالة المواطن السعودي /سيار المضياني العنزيمن أهالي الحدود الشماليةأوجه رسالة لسمو ولي العهد رئيس لجنة مكافحة الفساد النظر في ملف مستشفى جديدة عرعر#برنامج_ياهلا #السعوديه #بلغ_عن_الفساد https://t.co/wbGjZKBDb,Tweet,Polite
البرنامج لايعمل,Companies,Neutral
ياخذ العقل يهبل,Shein,Neutral
عملي وخفيف بارد,Shein,Neutral
صراحة ما في مميزات ألي في تطبيق الراجحي,Companies,Neutral
الجزء العلوي ضيق جدًا بالنسبة للمقاس الكبير (المقاس المتوسط هو الأفضل) لذا من الأفضل اختيار المقاس الأكبر. ولكن إذا كنت تريد مقاسًا مناسبًا تمامًا كما هو,Shein,Neutral
هى قالت على سبيل الضحك وبالنسبة للي هيفرط في مياه النيل وبالنسبة للي باع تيران وصنافير وبالنسبة للي قال معندناش صحة ولا تعليم,Tweet,Neutral
راقي كثير,Shein,Neutral
ترا خبروه من قبل لو فزتو بتلبس,Youtube,Neutral
غيظ الإخوان من منتدى شباب العالم وصل مرحلة شد الشعر بكاريكاتير اليوم السابع - https://t.co/IWG3sJiNHF #youm,Tweet,Impolite
احمد الطيب انهرده و هو بيتكلم عن شيكا و اكرامي و ابراهيم صلاح و محمد صلاح اكنوا بيتكلم عن مراتاتوا الاربعه و يجبلنا احنا شلل,Tweet,Neutral
لان التقييم اجباري وليس اختياري ابغا ادخل لحسابي والازم اقيم التطبيق قبل الدخول,Companies,Neutral
بعض التحديثات تخرب الشغلة كان ممتاز والان ما منه فايدة ابد صفحتة الهاتف المصرفي اختفت الناس تحدث إلى الأحسن والاهلي من اسوا إلى اردي ردي جدا اعيدوا القديم افضل تحديث خائس,Companies,Impolite
دمه خفيف اساسا و كل الحلقة حلوة,Youtube,Polite
بعد التحديث صار سيء ارجو التعديل نحتاج التطبيق جدا,Companies,Polite
نبي حلقة ثالثة تكفوووونننن,Youtube,Neutral
نجمة كثيره عليك,Companies,Neutral
"عايز اشكر الظروف اللي تخلينا نلعب ماتش في تصفيات كاس العالم في كوماسي واحنا هاديين كدة، الحمد لله",Tweet,Polite
كثير حلوين عن جد غير شكل,Shein,Neutral
له يومين مايفتح من قبل كان افضل ياليت تحلون المشكله في اسرع وقت,Companies,Polite
ليش مايفتح تعبت معه كل ما اكتب اسم المستخدم وكلمة المرور يقول خطأ ليش؟؟؟,Companies,Neutral
عندي مشكلة سدت فاتورة الكهرباء حق واحد كيف طريقة الحذف من القائمة السداد مسوين مشكله ياليت تحلون المشكله,Companies,Polite
كلها ٣,Youtube,Neutral
والله فعلا انت آخركم مرتضي منصور,Tweet,Neutral
هاذي احدى فوائد مقاطعة قطر 🤣🤣🤣,Tweet,Neutral
افشل تحديث علي الاطلاق,Companies,Impolite
"يا اخي شنو هل مقابلة الراقية !!!!

شي ما شاء الله ولا اروع

احسنتوا الاختيار في المقابلة و احسنتوا الاعداد و اختيار المحاور

صج صج في هذه المقابلة خليتونا نعيش الكويت في الماضي

الف شكر لكم وللعم سعد الفرج

دمتم بود 💐",Youtube,Polite
نبغا جزء ثاني,Youtube,Neutral
"لماذا لا يمكنني الدخول من المرة الواحده ، ولماذا لابد لي أن احاول عدة مرة حتى يضيع يومي كله وانا احاول ! ومع هذا اذا لم يجدي نفعا اقوم بخذف الطبيق ثم اعيد تحميله حتى يفتح معي فعلا انه امر ممل وإنني مستاء جدا من هذا التطبيق",Companies,Neutral
شكرا موضوع الحلقه مهم جدا وضيف مهم جدا وممتعه محاور الحلقه,Youtube,Polite
ما يفتح واذا فتح يطلع,Companies,Neutral
ارجوكم اصلحوا الخطأ يكفي استخفاف بالعملاء رجعوه مثل اول نفذ صبري سوف أغادر البنك إلى بنك يكون أفضل خدمة منكم عطلتوا مصالحنا لانقدر نسدد فوتير ولا نستطيع نحول لعيالنا ولا يفتح اصلا كل شي معطل بسببكم,Companies,Polite
جميلة جدا جدا,Shein,Neutral
صراحة مو قد كده وما تنشفيف مزبوط لايك جزاكم الله خير ربي يسعدكم,Shein,Polite
سئ مايدخل دخول سريع ويطلع الرقم غلط كل مره,Companies,Neutral
رائع اللقاء بصراحه مرزوق الغانم شخصية محترمه وخلوق ويملك الحجة ويحترم خصومه على عكس خصومه يفتقدون للادب والاحترام وفيهم فجور وتعدي وقلة أدب عليه .. تحية كبيره لابو علي 👏👏,Youtube,Polite
مالي بالتنس وما قد سمعت له تعليق لكن استمتعت جدا بالحلقه ضيف ممتع ما شاء الله الله يوفقه,Youtube,Polite
بنات تكفون عشان قومتي وتصوير الجوده لكم وصلت لكم المعلومه لايك الله يسعد والديكم,Shein,Polite
التحديث الأخير مايصلح,Companies,Neutral
بالله اختارو ضيوف بعنايه مانبي مبزره قنوات بدايه والواقع كل اللي يردون فانزاته,Youtube,Neutral
التطبيق يرفض الدخول والتسجيل,Companies,Neutral
السلام عليكم وايد حلو,Shein,Polite
سيى جدا جدا احيان احتاج الدخول يقول غلط تعبني,Companies,Neutral
جبت كلهن صح بس الاثنين الاخيرات بلحض😅,Youtube,Neutral
لي يومين احاول الدخول مني قادر برنامج جدا سيئ,Companies,Neutral
اما فيرس❤️❤️❤️❤️,Youtube,Neutral
تحديث تافه جدا لايدعم إصدار جوالي وتم عرقلة جميع اموري البنكيه بسببه,Companies,Impolite
القنوات المفتوحة الناقلة مباراة ساحل العاج و المغرب | تصفيات كأس العالم 2018: أفريقيا | https://t.co/SntDcOFHtK #المغرب_ساحل_العاج #المغرب #الهلال_جامعه_النزاهه #الهلال https://t.co/nBaxtwXzku,Tweet,Neutral
التطبيق ممتاز,Companies,Neutral
سلامات صرت ما اقدر ادخل ترا والله احول لراجحي,Companies,Neutral
للمزيد في تاريخ الصهيونية اقرأ كتاب تاريخ الفكر الصهيوني للدكتور عبد الوهاب المسيري.,Youtube,Neutral
"اصبح سيئ جدا بعد التحديث وكنا سابقا نسدد الفواتير ونحول عن طريق الدخول السريع،لكن الان يطلب الرقم السري واسم المستخدم وندخلها صح وبيرجع يرفضها تطبيق مشلووول سالغيه نهائيا",Companies,Neutral
الخامه وسط,Shein,Neutral
"اليوم عند الساعة 20:30 يلعب منتخبين عربيين في تصفيات أفريقيا المؤهلة لـ #كأس_العالم . بإذن الله نفرح سوياً بتأهلهم ( #تونس ، #المغرب ) https://t.co/tuBmHiOckF",Tweet,Neutral
"فنان مبدع ومثقف وقاعد اتعلم منه ..بس يا فيصل  نكون واقعيين الفنان اداة بالاخير .. سواء اداة بيد رجل اعمال يبحث عن البيع والترفيه لاجل الترفيه فقط او بيد مسؤول او سياسي يستخدمك لتمرير فكر يخدمه ، فبالاخير النظرة الدونيه للفنان قد يكون سببها ركاكة الاعمال المقدمة وعشوائيتها هذا من جهة
ومن جهة الفنانيين  الحقيقين شرواك ممن يجيد التقمص ويملك حس وثقافة وعمق ولديه ملكة اقناع المشاهد هم قلة للاسف ..غالب الفنانيين هواة  حتى وان زعموا تخرجهم من معاهد",Youtube,Polite
الشاشة تفتح بالعرض على الجوال وهذا متعبر.. ثانيا يعلق,Companies,Neutral
فاشل ماهو راضي يتحمل تطبيق فاشل فاشل فاشل,Companies,Impolite
كل ما انسي تفكروني وانا ايضا افكركم تيران وصنافير مصريه https://t.co/9lnN9Sw7Sg,Tweet,Neutral
انا قولت اجربه بعد مدح البنات فيه بس لامانه لسه ما استعملته بس حجمه كبير وسعره ممتاز يارب يبقى حلو عجبني لونه جدا جدا فيه زي لمعه جميله وانا مصوراها ليكم انا علقت بأمانه الله على كل حاجه يارب الي تعطيني نقاط تحرم يدها على النار ويسعدها رب العالمين,Shein,Polite
برنامج سيئ لايقبل وبطيئ في التنقل بين الصفحات,Companies,Neutral
كلامه عن الصوفية جميل,Youtube,Neutral
القائد العربي الليبي خليفة حفتر بإذن الله راح يطهر ليبيا من كل ارهابي او داعشي او اخونجي كلنا مع حفتر وراح ندعم حفتر https://t.co/pNI5fcU,Tweet,Neutral
رهيب بالبس خذو نفس مقاسكم,Shein,Neutral
ليش التطبيق اول ماافتحته يفتح معي شاشه افقيه نرجو الحل لو سمحتم,Companies,Polite
صباحتيران_وصنافير_مصرية,Tweet,Neutral
كانت(حرب هويات)…,Youtube,Neutral
من ٣ ايام احاول تثبيت البرنامج ولا يقبل التثبيت.,Companies,Neutral
مره صغير يصلح لخصر بالستينات وتحت انا بالسبعينات وطلع صغير على لكن مره حبيتهم جودتهم حلوه وكذا بس لو اطول بشوي بليز لايك,Shein,Polite
بعد التحديث الأخير الشاشه الرئيسيه لم يظهر يها خيارات ولم نتمكن من التسديد,Companies,Neutral
عندي مشكله في الدخول الي الاهلي اون لاين لا اعرف سببها,Companies,Neutral
قماشها حار ماعجبني,Shein,Neutral
في الأزمات يظهر المنافقين والمتلونين.والآن من كثرهم معاد لحقنا نرصدهم.#الشعب_الخليجي_يرفض_مقاطعه_قطر,Tweet,Neutral
من اهم أهداف إلغاء الدين كمعيار للصلاح.  هو أن يحكم المسلمين بحكام و حكومات يهودية و ملاحدة كافرة,Youtube,Neutral
الرئيس السيسي يعلن انطلاق أعمال #منتدي_شباب_العالم - #worldyouthforum من #أرض_السلام,Tweet,Neutral
تطبيق جميل ولاكن الفتره الاخيره لا استطيع الدخول اليه وكل مره يقول اسم المستخدم او الرقم السري خطاء بل رغم من انني متاكد من صحتهم 100%,Companies,Neutral
حلو ومريح وانا حبيته كتير كتير بنصح فيه جدا,Shein,Neutral
المذيع لبق جداً ماشاء الله وسمح وصدره وسيع وماعنده مانع اذا الضيف يقاطعه وهذي تحسب له .. والشيخ حجاج اشهر من نار على علم واحبه فالله 🌹,Youtube,Polite
اعظم هدف في تصفيات كأس العالم 🤙🏿😛 https://t.co/KSdjUDUe1R,Tweet,Neutral
حتى النجمة كثيره عليه لا مرونه لا سرعه ولا إنجاز من البارح احاول احول لواحد ولا رضي العالم صارو يطلعون تمويل من الجوال وعملاء الأهلي باقي طابور ع الصرافات عشان يحولون هههههه هزلت,Companies,Neutral
" #بطولات - روسيا تبتسم للعرب بعد سنوات عجاف.. 4 منتخبات لأول مرة معًا في كأس العالم و""السعودية"" الأكثر مشاركة https://t.co/zg24Hg1A3F",Tweet,Neutral
يناسب لشعر العادي ام الشعر الجاف مايستمر ليونته ونعومته,Shein,Neutral
اللهم بارك في مصر واهلها واحفظهم من شرور الطامعين والحاقدين واحفظ عبدك عبد الفتاح السيسي من شرور المتربصين واجعل سعيه سعيا محمودا https://t.co/WU0XiLiENs,Tweet,Polite
كل شوي تحديث وبعدين,Companies,Neutral
حفظك الله و وفقك و رحمك وغفرك و زادك من فضله وللجميع يارب 🤲,Youtube,Polite
ربنا يحميك ياصلاح يابنى ويبعد عنك شر الاصابات يارب متصدر هدافى الدورى الانجليزى الخلوق محمد صلاح يارب يكمل الموسم هداف الدورى يارب,Tweet,Polite
كتير حلوة ومرتبة,Shein,Neutral
شيء عجيب قارب,Youtube,Neutral
"تكفاااااا اخ فهد نطالب بجزء ثالث مع الفريق فهد الدوسري ✌🏼✌🏼✌🏼✌🏼✌🏼✌🏼✌🏼✌🏼✌🏼✌🏼
👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻",Youtube,Neutral
التحديث الجديد سيئ جدا واتمنى يشوفون له حل,Companies,Polite
#ومن_تاني_بنقولمهما السيسي وعسكره حاولوافإن يقضوا على الثوره والثواروراجعين تاني للميدان حتىاسقاط الانقلاب وتحقيق مطالب ثوره 25 يناير https://t.co/ulaicyEHBy,Tweet,Neutral
بعد قليل مباراة السويد - إيطاليا تصفيات كأس العالم | علي سعيد الكعبي شاهد المباراة : https://t.co/FBTePKDqtO حمل... https://t.co/kA0wRwIWuN,Tweet,Neutral
من صنع التافهين والتافهات هم من يتابعهم ويصدق مايبثونه,Youtube,Neutral
بعد التحديث لا استطيع الدخول الناس للافضل وانتم للاسوء,Companies,Impolite
#تأملات_الخال لو بطلتم تقولوا على يناير ثورة .. هيكون ده أول خطوة في الطريق الصحيح اقرأوا كتب الثورات .. واعترفوا بالحقيقة .. كفاية كدب ✋ #نصيحة,Tweet,Impolite
من الاسباب التي دفعت النرويج لتنظيم مفاوضات بين منظمة التحرير الفلسطيني و اسرائيل هي الحادثة التي اغتال فيها الموساد ناذلا مغربيا يدعى احمد بوشيخي في مدينة ليلهامر يوم 21يوليو 1973 ظنا منهم انه علي حسن سلامة العقل المدبر لهجوم ميونيخ سنة 1972 احمد البوشيخي ترك زوجته النرويجية حامل و قرر الابن بداية التسعينات بعد ان اصبح يافعا مقاضاة اسرائيل مما كان سيحدث ضجة اعلامية فتمت مقايضة المحاكمة بالدخول في مفاوضات مباشرة مع الفلسطيينيين تحت رعاية نرويجية و تعويض العائلة فرحمة الله على المهاجر المغربي احمد البوشيخي المزداد في مدينة الرباط بالمغرب سنة 1940,Youtube,Neutral
"#تيران_وصنافير_مصريةمن قبل نشأة السعودية.والملكية والسيادة ليس لها علاقة بالقرب او البعد،فجزيرة كورسيكا فرنسية مع انها قريبة من ايطاليا. https://t.co/fZChNxQNEP",Tweet,Neutral
شاهد أغرب هدف في تصفيات كأس العالم 2018 سجله مدافع جنوب افريقيا في مرماه:,Tweet,Neutral
مرره تجنن وأنيقه بمعنى الكلمه انصح فيها كثير بالنسبة من التيشيرت من ورا واضح في الصوره اللي حاطتها وخدو نفس مقاسكم المقاس كويس,Shein,Neutral
حلقة جميلة ودرشة حلوة .. ناقصها معاذ صراحة .. المدرب اتوقع من هالتشكيلة قاعد يجرب وريح بعض اللعيبة .. بس عن نفسي اشوف ان المنتخب مطالب وبشدة بالبطولة .. والمدرب يولف تشكيلة بين الشباب والخبرة لان في لعيبة بصراحة مالهم مكان حتى دكة فرقهم وانتهو فنيا والى الان يستعدون للمنتخب .. باتمنى من المدرب يخلط بين الشباب والخبرة وفالنا بحول الله الكاس هالجيل يستاهل يكون بطل ويكون له اسم يذكر,Youtube,Neutral
لماذا لا يمكنني طباعة شهادة الايبان من التطبيق زي باقي البنوك 👎,Companies,Neutral
#منتدى_شباب_العالم#مصر شايفين حالهم المصريين وهما كلاب,Tweet,Impolite
لا يعمل علي جهاز هواوي,Companies,Neutral
لسه ماجربته كميه كبيرة,Shein,Neutral
"ياليت تترجم الحلقة، حوار جدًا مثري جزاكم الله خير",Youtube,Polite
اضجع تطبيق,Companies,Neutral
أستراليا تتأهل لكأس العالم روسيا ٢٠١٨ على حساب الهندوراس من تصفيات الكونكاكاف ليصبح المنتخب رقم ٣١ الذي يتأهل إلى حد الآن علما بأن المنتخب الأسترالي هو المنتخب الخامس من القارة الأسيوية الذي تأهل من ضمنها المنتخب السعودي مباشرة. #السعودية #كأس_العالم_,Tweet,Neutral
" وطبعا هيحتفظ بحق الرد بالطريقه وفي الوقت المناسبينولي العهد السعودي يتهم #إيران بشن ""عدوان مباشر"" ضد بلاده https://t.co/3wJS44kqOM",Tweet,Neutral
والله مالكوم اسطوري 😭😂,Youtube,Neutral
البرنامج لا يعمل يعطيك العافية شوف اي المشكله الله يرحم والديك وشكراً,Companies,Polite
انا وسيطه و هذا طلب الزبونه انشاله يعجبها,Shein,Neutral
مممره صاررر زفت البرنامج شكلي راح اتحول علي بنك ثاني الخدمات صارت كلها زفت,Companies,Impolite
حلقة ممتعة و اتمني لقإذ آخر مع الضيف الكريم و يتم التركيز على ال52 قانون المعطلة للحياة,Youtube,Polite
يا الثور الربيع العربي كان لصالح الامه ولكن الثورات المضاده إنتوا السبب فيها وهي ضد الامه وحفظ لكراسي الحكام. خلكم عبيد الحكام ..,Tweet,Impolite
ودكم تظبطون تطبيقكم ولا اسحب ع بنككم بكبره‍؟؟؟,Companies,Impolite
مرا يخليكي كشخه مناسب للعيد الصراحه مرا حلوو🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩,Shein,Neutral
زي الزفت كل ماصلحو تحديث لازم أغيرجوالي,Companies,Impolite
للاسف التطبيق توقف بعد التحديث التحديث سئ جدا لا استطيع الدخول الي حسابي؟؟؟؟,Companies,Neutral
جودته سيئ جدا و غير اللون مطابق لصورة و تغطيتة سيئة,Shein,Neutral
#جيرارد: #محمد_صلاح خيب ظنون جماهير #ليفربولالتفاصيل من هنا..⏪ https://t.co/RwxnYDvo9H https://t.co/Jk2eojQ71t,Tweet,Neutral
هذه الكلمات التى نشرتها من تصور و رؤية فى المسقبل وهو ما نعيشه الان قبل ثورة 25 يناير اى منذ 7 سنوات يذكرنى بها... https://t.co/53W75GxAlc,Tweet,Neutral
ملخص لمسات تألق محمد صلاح واحرازه هدفين ليفربول vs... https://t.co/vH4V1KS8eV,Tweet,Neutral
للاسف اخ عيد . وانت تتحدث عن لحظات درامية حزينة وتبتسم وتضحك . المفروض ان تكون لديك لمسة انسانية متعاطفة مع الضحايا .,Youtube,Neutral
كبيرة مرة عالوجه,Shein,Neutral
افضل مقابلة والمذيع راقي ولا يقاطع الضيف ومعلومات ممتازة ومحضر زين على أسطورة الخليج استمتعت بالمقابلة,Youtube,Neutral
أزمة المثقف العربي.. في ظل إشراقات”الربيع العربي” https://t.co/561tHwc3CO https://t.co/urHQlHljsN,Tweet,Neutral
سيء جدا جدا جدا جدا جدا جدا ونجمة كثيرة عليه,Companies,Neutral
انتو دايما متميزين كالعاده طبعا بجد شكرا جدا جدا جدا جداجدا جدا جدا شي ان,Shein,Polite
الاجرام الذى تم به تمرير قانون الحريات النقابية هو ذات الاجرام الذى تم به تصويت العار فى برلمان السيسى #تيران_وصنافير_مصرية,Tweet,Neutral
السلام عليكم ورحمة الله وبركاته واسعد الله اوقاتكم اللهم ارفع الغمة عن الأمة واصرف عنا كل البلاء برحمتك يا ارحم الراحمين بصراحة التطبيق وللاسف يعاني من الكثير وإرضاء العملاء مطلب حضاري ارجو تحديث التطبيق بما يتناسب ويتواكب مع متطلبات العصر الحديث وشكرا لكم,Companies,Polite
احترم اللغة العربية ولا تدخل عليها لغات اخرى وتعمل حالك فهمان ومن قال لك انو نحن نريد نعرف معنى هالجمل بالانجليزي,Youtube,Impolite
محظوظين بهالحلقتين ❤️الله يمد في عمرك ياشيخنا على طاعة الله,Youtube,Polite
التطبيق يخرج كل مادخلت ايش المشكلة,Companies,Neutral
جميل جدا يستحق الشراء و التجربه,Shein,Neutral
اللي كان بيسأل علي موقف السفير معصوم مرزوق من ترشح خالد علي:وحيث أن الأخ المحامي المناضل / خالد علي قد أعلن... https://t.co/HrAfLfnOi,Tweet,Neutral
ناحبيتها ابدا مش مريحه,Shein,Neutral
الصراحه بعد تيران وصنافير وازمه سد النهضه صدمتنا فى الجيش امر من هزمته فى اى حروب,Tweet,Neutral
اخذتها ع اساس ابيض طلع رصاصي,Shein,Neutral
قبل التحديث من افضل البرامج لاكن للاسف بعد التحديث الجديد البرنامج يعلق ويطلع من حاله بىا التطبيق فاياليت تشفون حل او تردون الاصدار الي قبله,Companies,Polite
تحديث معلق,Companies,Neutral
رائع ❤,Youtube,Polite
"اسأل الله ان يعطيكم حتى يرضيكم 
🤍
الله يسعدكم ادعولي اتزوج و ذرية ❤️",Youtube,Neutral
ليه مايفتخر انه سعودي؟,Youtube,Neutral
صدقت فيهم,Companies,Neutral
جميل ومو اول مره اخذه,Shein,Neutral
"التطبيق لا يعمل منذ عدة أشهر على الرغم تم إدخال البيانات بشكل صحيح حتى من جهاز اللابتوب!! وعندما تم تغيير كلمة السر اصبح الدخول من اللابتوب فقط ومن التطبيق لا يسمح بالدخول نهائياً !!،، اتمنى من البنك الأهلي السعودي ان يعمل على تحسين خدماته الالكترونية بما يليق به كبنك.. خاصة بعد اندماج بنك سامبا معه واصبح اكبر بنك مصرفي.. علماً أن بنوك اخرى تجاوزت البنك الأهلي فيما تقدمه من خدمات إلكترونية عبر تطبيقات الاجهزة الذكية بفارق كبير..",Companies,Polite
الفطور هاليومين صاير مثل تصفيات كأس العالم كل يوم ينقص نوع من السفره اتوقع النهائي بين الرطب واللبن,Tweet,Neutral
زاهى حواس بـ #منتدى_شباب_العالم: الحضارة المصرية عمرها 5000 سنة وليس7 آلافhttps://t.co/Duch3cGHuO#weneedtotalk#WorldYouthForum https://t.co/YNWBPswTry,Tweet,Neutral
جودته ملائمة لكن مقاسه كبير,Shein,Neutral
حلقة ممتعة كالعادة .. بس صدقاً ساعتين طويلة جداً .. ما ابالغ لو اقول اني اسمعها على اربع او خمس مرات احياناً .,Youtube,Neutral
"الفخامة حلو كثير انصحكم فيه بشدة،",Shein,Neutral
سىئ الاصدار السابق افضل,Companies,Neutral
طلبيه شي ان,Shein,Neutral
صهيب خرب ان الدنيا هههههههههههههههههه😭😂,Youtube,Neutral
أهداف مباراة مصر ضد غانا 1-1 في تصفيات كأس العالم.: https://t.co/FZXl4FSwza via,Tweet,Neutral
الله يحفظ الشيخ عثمان ويطول عمره ❤️,Youtube,Polite
مو نفس الصوره قصير,Shein,Neutral
"إن حدث ما تقولون فهذا يعني هلاكنا، حرب في اليمن ،أزمه مع قطر، وفوق هذا ندخل حرب مع طائفه لها خلايا نائمه في الخليج! ..فهذا جهل في السياسه!",Tweet,Neutral
ان شاء الله,Companies,Neutral
ثنتين,Youtube,Neutral
اللهم اطل في عمر الشيخ عثمان الخميس ❤️❤️,Youtube,Polite
مره حلوه وتسهل الرسم مكن لايك,Shein,Neutral
تصفيات كأس العالم 2018 مصر *غانا اليوم beinHD1 المعلق احمد الطيب 6.30pm,Tweet,Neutral
مو حلوه حتى اللون م يبان,Shein,Neutral
"بالمقياس القديم الذي تربي عليه زمن التلفاز والمحاضرة المباشرة، فهو صادق وصحيح في مدة الاستيعاب
لكن بمقياس التطور اليوم يمكن للمتفرج ان يجزيء ويعيد ويشاهد في الوقت الذي يناسبه",Youtube,Neutral
الله يحفظ الشيخ عثمان الخميس ويجزاه خير “ أفضل ضيف في برامج بدون ورق “,Youtube,Polite
التطبيق لا يعمل ويرفض الدخول حاولت مرارا.. ولم استطع.. بعدها جات لي رساله تم ايقاف خدمات العميل؟؟؟,Companies,Neutral
أفشل شي المقابلات الوظيفية,Youtube,Neutral
رائع و جميل جدا احتاج الى نقاط اعملوا لايك,Shein,Neutral
#بوابة_الأهرام| الرئيس #السيسي: #الإرهاب هو الخطر الأكبر الذي يهدد الدول والمجتمعات#منتدى_شباب_العالم#weneedtotalkhttps://t.co/RIxZQjIosN,Tweet,Neutral
يا الاهلي يا اسرق بنك حطو ب ١٠٠ الف تطبيق بدل تطبيقكم الفاشل يا فشله,Companies,Impolite
جلسات الطالب يزيد العسيري لليوم في #منتدى_شباب_العالم في #مصر#جامعة_الملك_سعود❤ https://t.co/iFPq1yGspX,Tweet,Neutral
صحيح بدليل #حصار_قطر وشعبها في رمضان ! https://t.co/QWTYWuYAON,Tweet,Neutral
ڑوُوُوُوُوُعًـهہ تمـيزً ابدا؏ أناقـہ ذؤقہ تجنن,Shein,Neutral
"مشكورين ياحبذا لو تتطرق لبودكاست عن الثورة الجزائرية بضيف جزائري 
اللهم انصر اهلنا في غزة",Youtube,Polite
عضو لجنة العفو الرئاسي: الإعلان عن قائمة جديدة عقب منتدى شباب العالم|فيديو https://t.co/5dic3vYXFy,Tweet,Neutral
"مساء الخير.. نتشرف بزيارة د. عبدالله بن حاجم الفواز الشمري في #كعبة_المضيوم التي من دونها #تميم_المجد، ونشكر له كسر #حصار_قطر الجائر.. ويرسل رسالة حب بالأخضر الجميل بعد أن تجول ورأى المشاريع في #قطر على قدم وساق يا إخوان.. https://t.co/8OD4G8YReh",Tweet,Polite
الإضاءة إلي عند معاذ مرا سيئة مخليه كأن فيه بهتان على وجهه,Youtube,Neutral
ماقدرت اتثبيت على جوالي,Companies,Neutral
افشل تطبيق بنك فالسعوديه مايفتح غلط غلط وحتى الصرافه ماتقبل الاجهازاهلي,Companies,Neutral
فكر منحرف,Youtube,Neutral
انصحكم تاخد مقاص اقل من مقاسكم ب ٢ مرات يعني انت بتلبسين لارج خودوا سمول عشان تجمع البطن,Shein,Neutral
الناس مشخصنتها بالتعليقات,Youtube,Neutral
إعلام دوت أورج يحاور هشام سليمان رئيس شبكة قنوات dmc على هامش فعاليات منتدى شباب العالمWorld Youth Forum#wyf... https://t.co/9INTo4yC8Y,Tweet,Neutral
علاء عبد الفتّاح: «هزيمة ثورة يناير هزيمة في الفضاء المادي وليس في مخيلة الشباب» https://t.co/z33joh77xx,Tweet,Neutral
والله مافي راسك😂,Youtube,Neutral
هو أنا بس اللي ملاحظ إن محمد صلاح بيتمنيك وفرحان بإن ترديد نغمة (منتخب صلاح) إنتقل من كونه كلام قهاوي لإنه يتقال في الإعلام بشكل صريح؟,Tweet,Neutral
اقسم بالله حلقه في قمممممة الجمال أسأل الله ان ينفع فيكم,Youtube,Polite
اصحاب الدقائق 😂😂,Youtube,Neutral
تصفيات امّم أوربا وليس كاس العالم,Tweet,Neutral
"مش شغال أصلا، ، بصراحه حاجه مستفزه، ، الدنيا تطورت والتطبيق لا يعمل ولا يستحق النجمه",Companies,Neutral
سيء جدا بعد التحديث شيء مؤسف من البنك الأهلي,Companies,Neutral
هذا ما تسعى إليه الشردمة,Youtube,Impolite
يعني لو ما في عند الواحد قدرة يجيب جوال جديد ايش يسوي ؟؟ وبس تروح احد الفروع الموظفين بكل فلسفة الخدمة الذاتية ولا الاون لاين.... التطبيق الجديد الان بيقول لا يتوافق مع جهازك ايش الحل اروح اشتري جوال عشان يتوافق مع تحديثكم .. خلاص خلوا القديم مع الاصدارات القديمة لازم تنحل هالمشكلة باسرع وقت مصيبة عطلتوا الناس عشان جوال جديد,Companies,Neutral
كان كويس جدا قبل التحديث الاخير. الحين صار تعبان مرررره وما يفتح نهائي,Companies,Neutral
"لم أستطع اوافق، علي الشروط،ولاحكام",Companies,Neutral
صباح الخير ... #السعودية تماسر حقها السيادي في محاربة الفساد واجتثاثه وبدات بالشريف قبل الضعيف والأيام كفيلة بكشف النوايا ومعرفة أين تسير قافلة السلطة,Tweet,Neutral
#عيد_ميلاد_الزعيم_السيسي احنا مش عايزين زعيم احنا عايزين رئيس مدني يحافظ على مقدرات الشعب من مياه وغاز وارض فاكرين ام الرشراش اللي ضيعها العسكر تيران وصنافير اللي ضيعها العسكر حقوقنا في جزيرة تشيوس اللي ضيعها العسكر اللي قال في فرنسا انتوا في منطقة واحنا في منطقة اخرى هم العسكر. https://t.co/imnRZls4eS,Tweet,Neutral
شي جميل بس عندي عتب على المقدم انه مشخصن مع معاذ +عمر اتمنى ياخذ فرصه يتكلم,Youtube,Polite
سئ استخدامه في موبايل هواوي وسامسونج لانه الصفحه تفتح افقيه.,Companies,Neutral
حلوا المشكلة اللي لها حوالي شهر يافاشلين,Companies,Impolite
جدا فاتح ومو حلو لونه مقارنه بـ روز الي بالنص,Shein,Neutral
سي جدان,Companies,Neutral
يستاهل #محمد_صلاح https://t.co/2PedgeUMRa,Tweet,Neutral
يا حبيبي يا سمي ابوي الاخضراني نكد عليه الين صار يهوجس,Youtube,Polite
حلوة كثير,Shein,Neutral
كلام مكررررررررررر,Youtube,Neutral
"اذا هذي البداية ،الله يستر من تواليها",Companies,Impolite
المقدم شاب رائع أسأل الله تعالى له التوفيق والسداد في عمله ونسأل الله تعالى أن يبارك في شيخ عثمان الخميس وينفع به الإسلام والمسلمين 🤲🏻,Youtube,Polite
الي ماطلع يمكن يبي فلوس واجد,Youtube,Neutral
جميل وانصح فيه,Shein,Neutral
ودا تعب شعر في شورت واحد,Youtube,Neutral
